Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14630,22/01/2019,11/12/2018,11/12/2018,11/12/2018,21/12/2018,25/12/2018,22/01/2019,Dec-18,Jan-19,,"MW22007-AYCA-4VJFPP-2NEW-22-19-21 Eve St, Erskineville",Erskinville,"$1,201.18","$5,549.32","$6,750.50"," $	7,425.55 ","$3,800.64",,"$3,800.64","$2,949.86",44%,Ertan Cicek,Direct Award,07/03/2018,,05/04/2018,29d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13637,22/05/2018,03/05/2018,03/05/2018,08/05/2018,10/05/2018,16/05/2018,22/05/2018,May-18,May-18,,"MW22022--AYCA-3TBATE-2PAR-61-11 Hassall St, Paramatta",Parramatta,"$1,400.62","$7,702.47","$9,103.09"," $	10,013.40 ","$4,761.73",,"$4,761.73","$4,341.36",48%,Ertan Cicek,Direct Award,08/03/2018,,10/04/2018,33d
A417 RFQ,A417 RFQ New Devs,Sydney West,Dane Harrington,,,,30/06/2019, ,,,,Jun-19,Jan-00,,"MW22024-AYCA-35DF0W-2KEL-07-1, 1A & 1B President Rd, Kellyville",Kellyville,"$2,197.21",,"$2,197.21"," $	2,416.93 ","$2,161.86",,"$2,161.86",$35.35,2%,Ertan Cicek,Direct Award,08/03/2018,,10/04/2018,33d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14084,29/08/2018,12/07/2018,12/07/2018,16/07/2018,31/07/2018,16/08/2018,28/08/2018,Jul-18,Aug-18,,"MW22023-AYCA-48280D - 2RED-03 -  906 Bourke St, Zetland",Zetland,"$3,858.83","$14,876.74","$18,735.57"," $	20,609.13 ","$11,554.27",,"$11,554.27","$7,181.30",38%,Ertan Cicek,Direct Award,13/03/2018,,09/04/2018,27d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,Inv 14850,28/03/2019,19/02/2019,19/02/2019,,,05/03/2019,19/03/2019,Feb-19,Mar-19,,MW21914 - AYCA-4SRFAN-2BAL-62 - 22/26 Roseberry St Balgowlah NSW INT,Balgowlah,$560.00,,$560.00, $	616.00 ,,,$0.00,$560.00,100%,Lindy Chan,Direct Award,14/03/2018,,15/05/2018,62d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14143,11/09/2018,24/07/2018,24/07/2018,25/07/2018,30/08/2018,07/08/2018,11/09/2018,Jul-18,Sep-18,,"MW22048-AYCA-52ZO0L-2LID-04-32 Norval St, Auburn EXT",Aurburn,"$1,156.52","$4,793.13","$5,949.65"," $	6,544.62 ","$1,105.71",,"$1,105.71","$4,843.94",81%,Richard Huffadine,Direct Award,15/03/2018,,30/04/2018,46d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14191,24/09/2018,31/08/2018,31/08/2018,,,14/09/2018,28/09/2018,Aug-18,Sep-18,,MW22053-AYCA-4O03IQ-2COR-09-17 Ryan Street Balgownie Int,Balgowie,"$2,731.54",,"$2,731.54"," $	3,004.69 ",,"$1,200.00","$1,200.00","$1,531.54",56%,Nabeel Jaimon,Direct Award,15/03/2018,,11/05/2018,57d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14153,18/09/2018,21/08/2018,21/08/2018,22/08/2018,30/08/2018,04/09/2018,18/09/2018,Aug-18,Sep-18,,"MW22042-AYCA-4SV0JO2ING-65-41-47 Stennett Rd Ingleburn, Int HMDU",Ingelburn,$560.00,$512.56,"$1,072.56"," $	1,179.82 ",,,$0.00,"$1,072.56",100%,Richard Huffadine,Direct Award,15/03/2018,,31/05/2018,77d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,,30/06/2019,,,,,Jun-19,Jan-00,,"MW21898-AYCA-26KP9Q-2ROU-02-Caddies Boulevard & White Hart Drive, Rouse Hill",Rouse Hill,"$2,930.88",,"$2,930.88"," $	3,223.97 ",,,$0.00,"$2,930.88",100%,Ertan Cicek,Direct Award,15/03/2018,,26/03/2018,11d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13695,06/06/2018,14/05/2018,15/05/2018,18/05/2018,30/05/2018,29/05/2018,05/06/2018,May-18,Jun-18,,"MW22047-AYCA-53E534-2LIV-12-25 Glenfield Rd, Glenfield  Ext",Glenfield,"$5,800.45","-$1,002.48","$4,797.97"," $	5,277.77 ",,,$0.00,"$4,797.97",100%,Richard Huffadine,Direct Award,15/03/2018,,16/04/2018,32d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14196,26/09/2018,24/07/2018,24/07/2018,,,13/09/2018,27/09/2018,Jul-18,Sep-18,,MW22055-AYCA-52ZO0L-2LID-04-32 Norval St Auburn   INT,Auburn,"$2,800.00",,"$2,800.00"," $	3,080.00 ","$1,434.40",,"$1,434.40","$1,365.60",49%,Richard Huffadine,Direct Award,15/03/2018,,30/04/2018,46d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13683,30/05/2018,03/05/2018,03/05/2018,10/05/2018,23/05/2018,16/05/2018,31/05/2018,May-18,May-18,,"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah",Caringbah,"$1,692.36","$8,088.39","$9,780.75"," $	10,758.83 ","$7,048.27",,"$7,048.27","$2,732.48",28%,Ertan Cicek,Direct Award,19/03/2018,,18/04/2018,30d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13667,12/06/2018,07/06/2018,07/06/2018,07/06/2018,21/06/2018,21/06/2018,28/06/2018,Jun-18,Jun-18,,MW22050-AYCA-53E534-2LIV-12-25 Glenfield Rd Glenfield Int,Glenfield,"$2,640.00",$512.56,"$3,152.56"," $	3,467.82 ",,,$0.00,"$3,152.56",100%,Richard Huffadine,Direct Award,21/03/2018,,10/04/2018,20d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14996,01/05/2019,05/03/2019,05/03/2019,05/03/2019,11/04/2019,19/03/2019,30/04/2019,Mar-19,Apr-19,,"MW22071- AYCA-4M02LB -2UND-62-401-405 Illawarra Road, Marrickville ",Marrickville,$857.61,$745.96,"$1,603.57"," $	1,763.93 ",,,$0.00,"$1,603.57",100%,Ertan Cicek,Direct Award,21/03/2018,,23/04/2018,33d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13631,22/05/2018,03/05/2018,03/05/2018,08/05/2018,14/05/2018,16/05/2018,22/05/2018,May-18,May-18,,MW22080-2QUA-02-AYCA-3I5VJ6-67 Dongola Circuit Schofields,Schofields,$355.84,$668.36,"$1,024.20"," $	1,126.62 ",,,$0.00,"$1,024.20",100%,Ertan Cicek,Direct Award,23/03/2018,,01/05/2018,39d
A417 New Devs,NBN Assurance Wagga,NSW,Andrew McPherson,Inv 13429,27/03/2018,21/03/2018,21/03/2018,,,,07/06/2018,Mar-18,Jun-18,,"MW22116 - INC000007403862 –  49 RACECOURSE RD, ORANGE",Orange,"$5,297.08",,"$5,297.08"," $	5,826.78 ","$1,496.00",$580.83,"$2,076.83","$3,220.25",61%,Tony Gabriel,,,,,
