Client,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-040,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-041,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-042,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-043,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-001,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-002,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-003,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-004,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-005,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-006,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-007,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-008,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-009,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-010,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-011,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-012,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-013,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-001,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-002,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-003,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-004,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-005,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-006,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-007,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-008,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-009,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-010,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-011,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-012,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-013,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-001,FB-03-01-02 - Splicing of single fibre,12
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-002,FB-03-01-02 - Splicing of single fibre,10
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-003,FB-03-01-02 - Splicing of single fibre,10
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-004,FB-03-01-02 - Splicing of single fibre,4
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-005,FB-03-01-02 - Splicing of single fibre,12
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-006,FB-03-01-02 - Splicing of single fibre,10
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-007,FB-03-01-02 - Splicing of single fibre,10
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-008,FB-03-01-02 - Splicing of single fibre,4
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-009,FB-03-01-02 - Splicing of single fibre,10
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-010,FB-03-01-02 - Splicing of single fibre,9
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-011,FB-03-01-02 - Splicing of single fibre,8
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-012,FB-03-01-02 - Splicing of single fibre,4
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-BJL-013,FB-03-01-02 - Splicing of single fibre,5
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-FJL-001,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-FJL-001,FB-01-04-03 - Installation of splitter within an existing FJL enclosure,7
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-FJL-001,FB-03-01-02 - Splicing of single fibre,21
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-FJL-001,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-FJL-001,FB-04-01-01 - Uni-directional OTDR Testing,62
