,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,5/13/18,5/26/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/11/18,7/16/18,7/25/18,7/26/18,7/31/18,8/13/18,8/31/18,9/3/18,9/5/18,9/11/18,9/17/18,9/20/18,9/24/18,9/25/18,9/28/18,9/30/18,10/1/18,10/12/18,10/16/18,10/25/18,10/29/18,10/31/18,11/1/18,11/6/18,11/22/18,11/23/18,11/26/18,11/30/18,12/10/18,12/31/18,(blank),Grand Total,
MW22284-AYCA-4KZ476-2PTH-02-38-40 Doonmore St Penrith," $	6,099.75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook"," $	1,143.61 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22296-AYCA-4RB8MD-2LID-03-2 Clarke St, Berala"," $	5,424.09 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22297-AYCA-58QIXQ-2LIV-02-29 SCOTT ST, LIVERPOOL"," $	3,000.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22301-AYCA-541Y7O-2WAU-20-728-730 Beechwood," $	4,422.17 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22309-AYCA-3V5BM6-2DRU-61-197-199 Lyons Rd Drummoyne ," $	9,740.19 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown", $	306.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22319-AYCA-33L9HP-2BAN-64-Restwell & Leonard St Bankstown ," $	3,673.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22331-AYCA-3CFI3W-2EPP-05-120 Herring Road Marsfield," $	3,901.61 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22333 - AYCA-54SUCD - 2PKE-06 - Warehouse Pl Berkeley," $	1,960.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22336-AYCA-4MJKV1-2KMS-21-Lot 37 Springfields Drive, Greenhill"," $	3,003.86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22346-AYCA-50FP2M-2ROU-03-Oxlade Street Kellyville," $	55,633.47 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22347-AYCA-4XTH50-2HOM-03-31-35 Smallwood Ave Homebush ," $	6,152.49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22350-AYCA-4VAQ8P-9SCU-07-11 Prevost Pl MacGregor, ACT "," $	7,339.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields," $	11,326.55 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22390-AYCA-4EE89M-2RIV-04-15 Boundary Rd Box Hill, $	976.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22420 - AYCA-4RFDRV - 2KIA-03 - 58 Old Saddleback Road Kiama," $	5,530.26 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22435-AYCA-5576QH-2TGL-02-3 Ghersi Ave Wambera," $	7,118.33 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22436 - AYCA-4SRFAN-2226 Roseberry St Balgowlah NSW EXT," $	2,564.38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ," $	2,361.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22469-AYCA-4PQO3D-2EPP-62-12/6 Maida Road Epping ," $	2,546.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
