Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-328OYF,2CBT-05,Aspire Apartments - 1,Active,Supply Order Raised,73,FTTP – Type 2,NSW,Campbelltown,37-41 Chamberlain St,2560,165436,B + E,10/24/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/5/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-468RZY,2LID-04,23 RAILWAY PARADE - 1,Active,Supply Order Raised,5,FTTP – Type 2,NSW,Lidcombe,23 Railway Parade,2141,156882,B + E,10/29/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,,,Ertan Cicek,Datateks
AYCA-4RB8MD,2LID-03,2 Clarke St Berala - 1,Active,Supply Order Raised,5,FTTP – Type 2,NSW,Berala,2 Clarke St,2141,168809,B + E,10/29/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,4/24/18 12:00,,Nabeel Jaimon,Datateks
AYCA-5A2Y34,2MAI-03,"100 George St, East Maitland NSW 2323, A",Active,Supply Order Raised,2,FTTP – Type 2,NSW,East Maitland,100 George Street,2323,181918,B + E,10/29/18,Awaiting Corrective Action,Completed (No Telstra Duct),MWA - SOPR,WI Issued,6/6/18 12:00,,Ertan Cicek,Datateks
AYCA-48HHL8,2MIR-28,Palisade - 1,Active,Supply Order Raised,204,FTTP – Type 2,NSW,Miranda,2-22 University Rd & 660-664 Kingsway,2228,183378,B + E,10/31/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/4/18 12:00,CLAAN Sent to DP,,Datateks
AYCA-57Y170,2BRY-01,Morrow Building - 1,Active,Supply Order Raised,6,FTTP – Type 2,NSW,Berry,17 Hitchcocks Ln,2535,181585,B + E,10/31/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4UMUPA,2KEL-07,Department of Education - 1,Active,Supply Order Raised,3,FTTP – Type 2,NSW,Kellyville,21 Fairway Dr,2155,174997,B + E,11/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/6/18 11:15,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-3O2CEB,2GBE-62,Cowper Street Apartments - 1,Active,Developer Contract Signed,98,FTTP – Type 2,NSW,Glebe,5 Elger St,2037,165101,B + E,11/2/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4EZRCH,2MIR-26,"1-3 Higherdale Ave, Miranda - 1",Active,Supply Order Raised,68,FTTP – Type 2,NSW,Miranda,1-3 Higherdale Ave,2228,164024,B + E,11/5/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/12/18 12:00,CLAAN Sent to DP,,Datateks
AYCA-4Z4FSB,2MIL-20,Mainfreight Logistics - 1,Active,Supply Order Raised,2,FTTN,NSW,Prestons,36B Kookaburra Rd N,2170,176930,B + E,11/5/18,Design Accepted,Reservation Response Received,MWA - RFQ,WI Issued,4/19/18 12:00,,Ertan Cicek,Datateks
