Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/01-01,Field Scoping - LOC Validation,Per LOC ID," $	8.00 ",Field Scoping - LOC Validation,45403
Lend Lease,Lend Lease - N2P (QLD),CI-02-01-12/01-01,Installation of 12 fibre  cable sheath in underground duct all-inclusive by any means,Per linear metre," $	2.00 ",Installation of 12 fibre  cable sheath in underground duct all-inclusive by any means,45403

Lend Lease,Lend Lease - N2P (QLD),CI-02-01-13/01-01,"Installation of single fibre cable sheath in underground duct all-inclusive  by any means",Per linear metre," $	1.80 ","Installation of single fibre cable sheath in underground duct all-inclusive  by any means",45403

Lend Lease,Lend Lease - N2P (QLD),CI-03-01-20/01-01,Installation of cable sheath on all infrastructure in the communications corridor all-inclusive,Per Span," $	720.00 ",Installation of cable sheath on all infrastructure in the communications corridor all-inclusive,45403

Lend Lease,Lend Lease - N2P (QLD),CI-03-01-21/01-01,"Installation of cable sheath on all infrastructure in the power corridor all- inclusive",Per Span," $	720.00 ","Installation of cable sheath on all infrastructure in the power corridor all- inclusive",45403

Lend Lease,Lend Lease - N2P (QLD),FB-05-03-03/01-01,Supply and install patching cable within a HDODF or equivalent environment,Per patching cable," $	40.00 ",Supply and install patching cable within a HDODF or equivalent environment,45403

Lend Lease,Lend Lease - N2P (QLD),FB-05-03-06/01-01,Prepare and splice a fibre cable sheath greater than 144 fibres to be connected within a HDODF environment,Per cable sheath," $	720.00 ",Prepare and splice a fibre cable sheath greater than 144 fibres to be connected within a HDODF environment,45403

Lend Lease,Lend Lease - N2P (QLD),FB-05-03-07/01-01,Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,Per cable sheath," $	45.00 ",Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,45403

Lend Lease,Lend Lease - N2P (QLD),FB-05-03-08/01-01,Installation of an inline optical attenuator in conjunction with HDODF patching works,Per optical attenuator," $	53.00 ",Installation of an inline optical attenuator in conjunction with HDODF patching works,45403

Lend Lease,Lend Lease - N2P (QLD),MR-01-01-01/01-01,"Entry and splicing into an existing DJL/FJL/BJL all inclusive","Per DJL/FJL/BJL"," $	244.50 ","Entry and splicing into an existing DJL/FJL/BJL all inclusive",45403

Lend Lease,Lend Lease - N2P (QLD),MR-01-01-02/01-01,Installation of a new DJL all inclusive,Per DJL," $	350.00 ",Installation of a new DJL all inclusive,45403

Lend Lease,Lend Lease - N2P (QLD),MR-01-01-03/01-01,Installation of a new FJL all inclusive,Per FJL," $	675.00 ",Installation of a new FJL all inclusive,45403

Lend Lease,Lend Lease - N2P (QLD),MR-01-01-04/01-01,Installation of a new BJL all inclusive,Per BJL," $	300.00 ",Installation of a new BJL all inclusive,45403

Lend Lease,Lend Lease - N2P (QLD),MR-01-02-01/01-01,Installation of multiport or splitter multiport in underground pit or manhole all inclusive,Per multiport," $	65.00 ",Installation of multiport or splitter multiport in underground pit or manhole all inclusive,45403

Lend Lease,Lend Lease - N2P (QLD),MR-01-02-02/01-01,"Installation of multiport or splitter multiport on any pole all inclusive",Per multiport," $	150.00 ","Installation of multiport or splitter multiport on any pole all inclusive",45403
