,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
MW21056 - AYCA-4BYB3Q -33 Dunning Ave - 1- EXTERNAL," $	8,499.50 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21062 - AYCA-4IDMPC- 2REV-20 - 9 Fitzpatrick St - 1," $	1,725.57 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21067 - 2PTH-01 - AYCA-3VF189 - 293-295 Jamison – 1 EXTERNAL, $	689.79 ,,,,,,,,,,,,,,,,,,,,,,,,
MW21072 - 2PKS-20 - AYCA-49I4SO - 72 Brolgan Road ," $	2,570.91 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21085 - 2ROU-02 - AYCA-47PV52 - Non Standard Builds - 22-24 Barry Road ," $	4,410.54 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21092 - AYCA-1NGPGW - 2BRG-03Gledswood," $	10,608.28 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21095 - AYCA-4K6BDG - Melito Drive Externals," $	4,155.96 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build, $	300.00 ,,,,,,,,,,,,,,,,,,,,,,,,
MW21104 - AYCA-3UHHF8-2LIV-12-25 Glenfield Road ," $	11,278.40 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21108 - 2NEW-03 - AYCA-4D6F80 - Casa - Terraces ," $	6,867.81 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21120 - 2EDG-62 - AYCA-4GJD8J - 10 COURT ROAD - External," $	1,523.39 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21145 - AYCA-4KU6BE -OOMWI - 2WET-20 - Seniors Housing," $	1,316.57 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21178 - 2LID-06 - AYCA-32WJ4A - John St - 2 - INTERNAL," $	3,248.80 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21205 - AYCA-3349N6 - 2RIV-02 - The Maples - 2             , $	637.19 ,,,,,,,,,,,,,,,,,,,,,,,,
MW21209 - AYCA-4K7VB2 -2TWH-05 - River Views – 1," $	2,013.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21223 - AYCA-2568YW - 25 29 Harbour St," $	11,125.84 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21244 - AYCA-4J7JTW - 2LIV-03 - Passefield St," $	4,295.70 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21250 - AYCA-4BEC9X-2LIV-68-The Birdwood," $	4,549.53 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21271 - AYCA-45TAFX  - 2MRS-03-Cooranbong - 1," $	4,446.68 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21281 - AYCA-3K4RCM - Marsden Park Tonzat Development - 2," $	1,465.45 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21285 - AYCA-496F3H - 2MSV-04 - 8 Bendooley Street Bowral," $	7,890.75 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21293 - AYCA-4GNO0E - 2LIV-63 - Coopers Paddock - 1-  INTERNAL ," $	1,387.27 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21311 - AYCA-4N13KQ - 2WAU-21 - 127 Cameron St," $	6,106.05 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21322 - AYCA-4FHB4D - 2SHH-02 - 3 Bellbird Close Barrack Heights," $	3,289.75 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21369 - AYCA-4EEPL6 - Rosebery Park - EXTERNAL," $	2,427.26 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21373 - AYCA-4O5GBC -  2WET-65 - 106 Chifley Street - Smithfield," $	4,774.48 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21381 - AYCA-4B5X29 - 2LIV-03 - 209-213 Memorial Ave - 1- EXTERNAL, $	931.36 ,,,,,,,,,,,,,,,,,,,,,,,,
MW21384 - 2PEN-65  - AYCA-4LWMQ0 - 271 Dunmore Street - 1- EXTERNAL," $	3,121.35 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21386 - 2PTH-05 - AYCA-3BBYF2 - 40-50 Union Rd, Penrith"," $	2,621.77 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21390 - AYCA-4QG9AV - NSB - 33 Shoalhaven St Kiama Surevy & Build," $	1,120.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21397 - AYCA-32WJ4A - 2LID-06 -  John St - 2- EXTERNAL," $	3,585.33 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21425 - AYCA-2IQYU1 - 2LIV-04 - Macquaire St Development – 1-EXTERNAL," $	2,729.39 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21426 - AYCA-3QAOV2 - 2PTH-05 - Meyer Timber NSW," $	1,331.80 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21452 - AYCA-4FFBGM - 2PIT-01 - The Oaks Development," $	6,437.11 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21453 - AYCA-2RVC4H - 2LIV-04 - 100 Macquarie Street Liverpool - 1- EXTERNAL," $	2,645.01 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21456 - 2BLK-07-16 - 51 Huntingwood Drive, $	600.00 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW21456 - 2BLK-07-16, 51 Huntingwood Drive"," $	8,804.68 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21457 - 2NEW-63 - AYCA-4QLE5J - Ara on Park - 1 - EXTERNAL," $	2,603.91 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21458 - AYCA-4DZEDU-2LID-07-Auburn Vista - 1 - EXTERNAL, $	127.27 ,,,,,,,,,,,,,,,,,,,,,,,,
