,,,"$116,745.60","$735,167.78",,,,,Days average for PC Accpetance,,"$169,644.79",$0.00,,,,,,,,,,,,,,,,
Date,PM,Site Name,Pending on Outcome,Quoted Sum Won,Comments,PC Request Submit Date,PC Due Date,PC Cert issued,Date PC Approved,Day difference between PC Request and PC Granted,Quoted Sum Loss,Tech Choices Projects Yet award,Won Less than $2K,Won Greater than 2K to 5K,Won Greater than 5K,,,,Row Labels,Count of Quoted Sum Won,Count of Won Less than $2K,Count of Won Greater than 2K to 5K,Count of Won Greater than 5K,Total Jobs Per PM,Win % per PM,,,
10/27/17,Dave Yoemans,MW21472 - OOMWI - 2GRK-01 - AYCA-4G5CSP - 20 Stanley Street Wyongah,,"$6,634.97",,,,,,,,,,,,,,,,,,,,,,,,
10/27/17,Dave Yoemans,"MW21473 - OOMWI - AYCA-3TNJ90-64 James Sea Drive, Green Point",,"$5,531.99",,,,,,,,,,,,,,,,,,,,,,,,
10/31/17,Andrew Mahassy,MW21488 - OOMWI - 2ROU-03 - AYCA-4877L8 - Non Standard Builds - Windon Avenue,,"$2,284.97",,,,,,,,,,,,,,,,,,,,,,,,
11/1/17,Andrew Patarlis,MW21493 - OOMWI - 2PTH-02 - AYCA-3O0SC6 - Hope Gardens - 1,,$741.95,,,,,,,,,,,,,,,,,,,,,,,,
11/2/17,Andrew Mahassy,MW21495 - OOMWI - 2COR-04 - AYCA-4UUWX6 - Non Standard Build - 13 Popes Rd Woonona - SURVEY MWI Pack,,"$1,350.00",,,,,,,,,,,,,,,,,,,,,,,,
11/8/17,Nabeel Jaimon,MW21507 - OOMWI - 2WAG-05 - AYCA-4Q1LKQ -The Mill Commercial Development - 1,,"$3,800.34",,,,,,,,,,,,,,,,,,,,,,,,
11/3/17,Vipin K Gajula ,MW21271 -OOMWI-2MRS-03-AYCA-45TAFX  - Cooranbong - 1,,"$8,838.48",,,,,,,,,,,,,,,,,,,,,,,,
11/9/17,Nabeel Jaimon,"MW21506-AYCA-4TCZPJ-2MIL-20-LOT 421 & 422, PROGRESS CIRCUIT",,"$3,069.50",,,,,,,,,,,,,,,,,,,,,,,,
11/10/17,Andrew Patarlis,MW21512 - OOMWI - 2NLT-09 - AYCA-4IUR86 -Clarendene - 1 ,,"$6,924.34",,,,,,,,,,,,,,,,,,,,,,,,
11/16/17,Lindy Chan,MW21408 - OOMWI - 2ROC-04 - AYCA-4GCT7O - Baxter International Hotel - 1 ,,"$5,871.23",,,,,,,,,,,,,,,,,,,,,,,,
11/17/17,Paul Hales,MWxxxxx Datateks - New Dev MDU 476TI5 Freight Linz  Annexure B - RFQ 7 Mar 2016,,,,,,,,,"$5,195.06",,,,,,,,,,,,,,,,,
11/17/17,Paul Hales,MWxxxxx Datateks - New Dev MDU 4JI593-2BYB-21 Banksia Byron Bay  Annexure B - RFQ 7 Mar 2016,,,,,,,,,"$10,085.70",,,,,,,,,,,,,,,,,
11/17/17,Paul Hales,"MW21642- AYCA-48KUSD-2NRN-10 - 79-85 TURNER ROAD, GREGORY HILLS",,"$2,107.06",,,,,,,,,,,,,,,,,,,,,,,,
12/1/17,Paul Hales,MWxxxxx Datateks - New Dev MDU 4V3WL4-2PTM-Port Macq  Annexure B - RFQ 7 Mar 2016,,,,,,,,,"$17,083.60",,,,,,,,,,,,,,,,,
12/8/17,Vipin K Gajula ,MW21390 - 2KIA - AYCA-4QG9AV - NSB - 33 Shoalhaven St K - Datateks NBN Quote,,"$1,919.00",,,,,,,,,,,,,,,,,,,,,,,,
1/22/18,Paul Hales,AYCA-4VVZEF - 2OBA-20 - NSB - Trevally Ave Old Bar - Survey,,,,,,,,,"$1,578.00",,,,,,,,,,,,,,,,,
1/15/18,Paul Hales,AYCA-3K4RCM - Marsden Park Tonzat Development – 1 and 2,,"$21,847.48",,,,,,,,,,,,,,,,,,,,,,,,
1/18/18,Paul Hales,MW21703 - AYCA-41SAXG - 2MIL-04 - Stage 2 Lagana,,"$1,404.18",,,,,,,,,,,,,,,,,,,,,,,,
2/6/18,Ertan Cicek,"MW21821-2NRN-10-AYCA-52OMAH-18 Bluett Dr, Smeaton Grange",,"$7,704.13",,,,,,,,,,,,,,,,,,,,,,,,
2/12/17,Vipin K Gajula ,2ROU-02-AYCA-4YPSLH - Home Co Rouse Hill – 1 ,,,,,,,,,$680.36,,,,,,,,,,,,,,,,,
2/19/18,Andrew Mahassy,"MW21946-2COR-04-AYCA-4XKUSR-13 Popes Rd, Woonona",,"$9,706.10",,,,,,,,,,,,,,,,,,,,,,,,
2/26/18,Mark Leal,"AYCA-4GRO21 NSB - 55 Kingston Parade, Heatherbrae,",,"$2,191.88",,,,,,,,,,,,,,,,,,,,,,,,
2/26/18,Mark Leal,AYCA-4L6PEC- Non Standard Builds - Brook Close Old Bar ,,"$3,519.00",,,,,,,,,,,,,,,,,,,,,,,,
2/27/18,Mark Leal,51 Alliance Avenue Morisset,,"$8,001.45",,,,,,,,,,,,,,,,,,,,,,,,
2/27/18,Dave Yoemans,MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee,,"$6,077.33",,,,,,,,,,,,,,,,,,,,,,,,
2/27/18,Dave Yoemans,MW22035-AYCA-4C4E63-2CWR-01-11 Liverpool Street Cowra,,"$8,506.73",,,,,,,,,,,,,,,,,,,,,,,,
2/27/18,Dave Yoemans,MW22034-AYCA-4DZ83F-2NLT-01-6 Callan Avenue Maryland ,,"$4,859.50",,,,,,,,,,,,,,,,,,,,,,,,
2/27/18,Dave Yoemans,MW22033 -AYCA-4PX9WA- 2YAS-01 - 23 Browne Street Yass,,"$2,191.88",,,,,,,,,,,,,,,,,,,,,,,,
3/28/18,Dave Yoemans,MW22098-AYCA-4RWURH-2CES-02-147 Mathieson Street Bellbird Heights ,,"$5,003.75",,,,,,,,,,,,,,,,,,,,,,,,
3/30/18,Mark Leal,MW22100 - 2KTB-02 - AYCA-4QBUIV - Non Standard Builds - Letitia St Katoomb,,"$2,772.40",,,,,,,,,,,,,,,,,,,,,,,,
4/6/18,Dave Yoemans,"MW22196 - 2ORG-01 - AYCA-4VVND3 - 258 CLERGATE RD, ORANGE",,"$6,657.74",,,,,,,,,,,,,,,,,,,,,,,,
4/6/18,Ertan Cicek,MW22188 - 2BAN-60 - AYCA-4YPJJH - Home Co Chullora - 1,,$789.43,,,,,,,,,,,,,,,,,,,,,,,,
4/6/18,Ertan Cicek,MW22183 - 2REV-20 - AYCA-55F4KR -Revesby Industrial Site - 1,,"$3,090.06",,,,,,,,,,,,,,,,,,,,,,,,
