Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since response submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,Clause 15.9 & 19.7 Payment 15 days from submission of payment claim,The average payment date timeframe from submission of payment claim to payment in the last 7 months  is 26 days.  Contracted 15 days
779,A417 MDU New Devs,MW22347-AYCA-4XTH50-2HOM-03-31-35 Smallwood Ave Homebush ,Request for PC,Approved,5/29/18,6/8/18,10d,,,,,,,,,,,
780,A417 MDU New Devs,MW22104-AYCA-4DRN0U-2BRG-03-182 Raby Road Gledswood Hills,Payment Claim,Payment Schedule Received,5/31/18,6/4/18,4d,1d,,,payment Date 5/6/18,,6/5/18,,,,,
781,A417 MDU New Devs,MW22358-AYCA-4OHMS3-2BLK-07-35 Holbeche Road Arndell Park-INT HMDU,Variation Proposal,Approved,5/30/18,6/8/18,9d,,,,,,,,,,,
782,A417 MDU New Devs,MW22358-AYCA-4OHMS3-2BLK-07-35 Holbeche Road Arndell Park-INT HMDU,Payment Claim,Payment Schedule Received,6/21/18,6/22/18,1d,4d,,,Payment Date 26/6/18,,6/26/18,,,,,
783,A401 Greenfields,"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook",Payment Claim,Payment Schedule Received,5/31/18,6/1/18,1d,4d,,,payment Date 5/6/18,,6/5/18,,,,,
784,A417 MDU New Devs,"MW21835-AYCA-4MJ7W3-2WRO-63-8-10 Park Ave, Waitara",Payment Claim,Payment Schedule Received,5/31/18,6/7/18,7d,,,,Payment Date???,,,,,,,
785,A417 MDU New Devs,"MW22047-AYCA-53E534-2LIV-12-25 Glenfield Rd, Glenfield  Ext",Payment Claim,Payment Schedule Received,5/31/18,6/1/18,1d,4d,,,payment Date 5/6/18,,6/5/18,,,,,
786,A401 Greenfields,"MW22478 - AYCA-501QN5 - 2CAS-23 - 30 Pentonville Parade, Castle Hill ",Request for PC,Approved,5/31/18,6/14/18,14d,,,,,,,,,,,
787,A417 MDU New Devs,"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown",Request for PC,Approved,5/30/18,6/13/18,14d,,,,,,,,,,,
788,A417 MDU New Devs,MW22351-AYCA-49Z80V-2PIT-01-44 Wells Street Pitt Town,Payment Claim,Payment Schedule Received,5/31/18,6/1/18,1d,4d,,,payment Date 5/6/18,,6/5/18,,,,,
