,,,,,,,,,,
,,,,,,,,,,
,Row Labels,Sum of Total Revenue,,,,,Row Labels,Sum of Debit,,
,MW20491 - AYCA-3W8T05 - 2PAR-60 - Amos St ,"$3,449.71",,,,,,,,
,MW20615 - AYCA-3ZMQUE - Grove Family Trust - 1,"$3,408.92",,,,,,,,
,MW20628 - AYCA-32PR0X - 2ROU-03 - 21 Hezlett Rd Kellyville 1,"$7,925.58",,,,,,,,
,ICQ-459 NSW Health Auburn Hospital,"$23,006.15",,,,,,,,
,"MW20604 - AYCA-46I5YX - 878 Pacific Hwy, Lisarow","$9,071.06",,,,,,,,
,MW20786 - 2LIV-03 - AYCA-47DIBW - Dale Development – 1,"$3,787.60",,,,,,,,
,MW20801 - 2RCH-05- AYCA-35BURW - 503-505 Londonderry Road ,"$4,065.89",,,,,,,,
,"MW20897 - AYCA-3UMID0 - 2BLK-01 - 25 ALLAWAH ST, BLACKTOWN",$558.04,,,,,,,,
,MW20875 - ACYA-3W8TJD - 31-33 Irelands Road Blacktown ,"$3,932.06",,,,,,,,
,MW20828 - 2WLG-07 - MPS-889 - 438 Crown Street Wollongong.,"$6,272.99",,,,,,,,
,MW20821 - AYCA-45D358 NSB Albuera Close -  BUILD,"$7,996.13",,,,,,,,
,MW20927 - 2ASH-61 - AYCA-482KZM - Lionsgate Projects – 1,"$6,113.71",,,,,,,,
,MW20894 - 2KEL-08 - AYCA-42POJA - Non Standard Builds - Memorial Ave Kelly Build,"$10,471.54",,,,,,,,
,MW20946 - 2OBA-20 - AYCA-4DWSZZ-  81 Albatross Way - NSB - SURVEY,"$1,430.00",,,,,,,,
,MW20983 - 2RYD-01 - AYCA-2ZD7NM - 86-94 Blaxland Rd ,"$5,183.52",,,,,,,,
,MW21052 - 2MAI-11 - AYCA-3OLAP3-WA Brown INTERNAL,"$8,991.90",,,,,,,,
,MW21062 - 2REV-20  - AYCA-4IDMPC- 9 Fitzpatrick St - 1,"$4,559.36",,,,,,,,
,MW21034 - 2LIV-04 - AYCA-2XM8XA - Castlereagh Projects PTY LTD - 1- EXTERNAL,"$1,095.05",,,,,,,,
,MW20941 - 2KEL-01 - AYCA-2KQ04J -112 Hambledon,"$2,812.10",,,,,,,,
,MW21024 - AYCA-4JN54Z - 2NRN-05 - Elderslie - TH5,"$2,259.38",,,,,,,,
,"MW20797 - SOPR MWI  - 2RYD-03 - AYCA-1SUDYS – 15 Porter Street, Ryde - La Pearl - 1","$2,374.96",,,,,,,,
,MW20949 - 2MAI-06 - AYCA-4F1FWW_AYCA-4GRO21 - NSB 13 Vantage 55 Kingston,"$1,905.50",,,,,,,,
,MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD,"$23,551.72",,,,,,,,
,MW20858 - 2ROU-03 - AYCA-3R9WD2 - 2 Foxall Rd,$254.28,,,,,,,,
,MW20728 - 2NRN-10 - AYCA-3UYW26 - P150 – Externals,"$5,825.12",,,,,,,,
,Jul-17,"$159,688.90",,,,,,,,
,"MW20441 - AYCA-3KSRGR - Norberta St, The Entrance - 1","$8,685.35",,,,,,,,
,MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road,"$25,019.77",,,,,,,,
,MW20620 - 2EPP-05 - AYCA-3071BP - Macquarie Park Village - 2 ,"$1,535.10",,,,,,,,
,MW20644 - AYCA-35B3X9 -  Renocorp Australia Pty Ltd - 1,"$4,979.10",,,,,,,,
,MW20758 -  AYCA-3ETV2Y - 2BAN-64 - 21-25 Leonard Street - 1,"$8,551.88",,,,,,,,
,MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood ,"$19,912.22",,,,,,,,
,MW20613 - AYCA-3CGK8N - Tulkaba View – 1,"$3,471.50",,,,,,,,
,"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1","$3,479.40",,,,,,,,
,MW20669 - AYCA-47X9GS - Mackenzie Residences - Strathfield - 1 ,"$2,460.47",,,,,,,,
,"MW20686 - AYCA-1RBL6L - The North Village , Kellyville - 1","$9,099.61",,,,,,,,
,MW20667 - AYCA-41NF6X - Non Standard Builds - Miller St    BUILD,"$13,306.27",,,,,,,,
,"MW20725 - AYCA-3I8QKP - 6-8 Biara Street, Bargo – 11","$5,508.21",,,,,,,,
,MW20791 - 2RIV-01 - AYCA-3W8B3W - 43 Church St - 1,"$1,493.41",,,,,,,,
,"MW20719 - AYCA-3RWSQB - 26 Kalinya Close, Cameron Park – 1","$3,684.78",,,,,,,,
,MW20720 - AYCA-4BHWVV - Argyle Community Housing - 1 ,"$3,135.04",,,,,,,,
