Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,,,,,,,,,,,,,,,,
KSJDA,Inv 17/1153,11/16/17,12/31/17,NBN Co,NBN Greenfields,MW21209 - AYCA-4K7VB2 -2TWH-05 - River Views – 1,NBN Greenfields,$748.00,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803661,11/24/17,12/31/17,NBN Co,NBN A417,MW21478-AYCA-4PIZ8V  -2MYF-02 - The Furnace - 1 – EXTERNAL    ,NBN New Devs,"$1,746.62",,,,,,,,,,,,,,,,
Schokmans,Inv 2415,11/27/17,12/31/17,NBN Co,NBN A417,MW21104 - AYCA-3UHHF8-2LIV-12-25 Glenfield Road ,NBN New Devs,"$2,227.08",,,,,,,,,,,,,,,,
Schokmans,Inv 2416,11/27/17,12/31/17,NBN Co,NBN A401,"MW20812 - 2WLG-01 - 2LIV-04 - Crown, Kembla, Macquarie, George",NBN Brownfields,"$7,533.95",,,,,,,,,,,,,,,,
Schokmans,Inv 2417,11/27/17,12/31/17,NBN Co,NBN A417,MW21471 - AYCA-2T1HEY -2KIL-63 - RIDGE CENTRE - 1-E XTERNAL ,NBN New Devs,"$2,357.52",,,,,,,,,,,,,,,,
Schokmans,Inv 2418,11/27/17,12/31/17,NBN Co,NBN A401,MW21512 - AYCA-4IUR86 - 2NLT-09 - Clarendene - 1,NBN New Devs,"$3,416.80",,,,,,,,,,,,,,,,
Schokmans,Inv 2419,11/27/17,12/31/17,NBN Co,NBN A401,MW21285 - AYCA-496F3H - 2MSV-04 - 8 Bendooley Street Bowral,NBN New Devs,"$7,890.75",,,,,,,,,,,,,,,,
Schokmans,Inv 2420,11/27/17,12/31/17,NBN Co,NBN A417,MW21483 - AYCA-2Y1KQS - Charles Banks – 1- EXTERNAL,NBN New Devs,"$5,541.28",,,,,,,,,,,,,,,,
Schokmans,Inv 2422,11/27/17,12/31/17,NBN Co,NBN A417,MW20692 - AYCA-2HTGPP - Scalabrini Village Residential,NBN New Devs,"$7,738.49",,,,,,,,,,,,,,,,
Schokmans,Inv 2423,11/27/17,12/31/17,NBN Co,NBN A417,MW21425 - AYCA-2IQYU1 - 2LIV-04 - Macquaire St Development – 1-EXTERNAL,NBN New Devs,"$2,365.75",,,,,,,,,,,,,,,,
Schokmans,Inv 2431,11/29/17,12/31/17,NBN Co,NBN A417,MW21452 - AYCA-4FFBGM - 2PIT-01 - The Oaks Development,NBN New Devs,"$6,437.11",,,,,,,,,,,,,,,,
LCC,Inv 10255,10/17/17,11/30/17,NBN Co,NBN A401,MW20865 - AYCA-2K3SGD - 2NWR-03 - Elian Crescent 1.,NBN New Devs,"$1,480.00",,,,,,,,,,,,,,,,
LCC,Inv 10258,11/30/17,12/31/17,NBN Co,NBN A401,MW21322 - AYCA-4FHB4D - 2SHH-02 - 3 Bellbird Close Barrack Heights,NBN New Devs,"$3,289.75",,,,,,,,,,,,,,,,
LCC,Inv 10259,11/30/17,12/31/17,NBN Co,NBN A401,MW21006 - AYCA-49DNJ1 - Nowra BP & McDonalds - 1-  INTERNAL AND EXTERNAL,NBN New Devs,"$1,080.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2451,12/1/17,1/31/18,NBN Co,NBN A417,MW21244 - AYCA-4J7JTW - 2LIV-03 - Passefield St,NBN New Devs,"$3,120.05",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21426 - AYCA-3QAOV2 - 2PTH-05 - Meyer Timber NSW,NBN New Devs,"$1,331.80",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21293 - AYCA-4GNO0E - 2LIV-63 - Coopers Paddock - 1-  INTERNAL ,NBN New Devs,"$1,387.27",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21205 - AYCA-3349N6 - 2RIV-02 - The Maples - 2             ,NBN New Devs,$637.19,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21458 - AYCA-4DZEDU-2LID-07-Auburn Vista - 1 - EXTERNAL,NBN New Devs,$127.27,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A401,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,NBN Brownfields,$890.91,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21281 - AYCA-3K4RCM - Marsden Park Tonzat Development - 2,NBN New Devs,"$1,145.45",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A401,MW20154 - 2WLG-01 & 02 ,NBN Brownfields,$254.55,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21381 - AYCA-4B5X29 - 2LIV-03 - 209-213 Memorial Ave - 1- EXTERNAL,NBN New Devs,$804.09,,,,,,,,,,,,,,,,
Cumberland Council,Inv 67449,11/27/17,12/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,"$5,039.50",,,,,,,,,,,,,,,,
KSJDA,Inv 17/1166,12/5/17,1/31/18,NBN Co,NBN A401,MW21311 - AYCA-4N13KQ - 2WAU-21 - 127 Cameron St,NBN New Devs,"$6,106.05",,,,,,,,,,,,,,,,
KSJDA,Inv 17/1167,12/5/17,1/31/18,NBN Co,NBN A401,MW21484 - AYCA-2CO7SU - 2ARM-04 - Brown - 1,NBN New Devs,"$3,247.52",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803673,12/4/17,1/31/18,NBN Co,NBN A417,MW21104 - AYCA-3UHHF8-2LIV-12-25 Glenfield Road ,NBN New Devs,"$9,051.32",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803724,1/8/18,2/28/18,NBN Co,NBN A417,"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1",NBN New Devs,$700.30,,,,,,,,,,,,,,,,
KSJDA,Inv 18/1175,1/12/18,2/28/18,NBN Co,NBN A417,MW20843 - AYCA-4EIN5M - 2KCL-02 - 171 Casuarina Way Pty Ltd - 1- EXTERNAL,NBN New Devs,"$1,934.64",,,,,,,,,,,,,,,,
Schokmans,Inv 2451,12/1/17,1/31/18,NBN Co,NBN A417,MW21244 - AYCA-4J7JTW - 2LIV-03 - Passefield St,NBN New Devs,"$1,175.65",,,,,,,,,,,,,,,,
Schokmans,Inv 2452,12/1/17,1/31/18,NBN Co,NBN A417,MW21471 - AYCA-2T1HEY -2KIL-63 - RIDGE CENTRE - 1-E XTERNAL ,NBN New Devs,$656.68,,,,,,,,,,,,,,,,
Schokmans,Inv 2460,12/18/17,1/31/18,NBN Co,NBN A417,"MW21386 - 2PTH-05 - AYCA-3BBYF2 - 40-50 Union Rd, Penrith",NBN New Devs,"$1,126.02",,,,,,,,,,,,,,,,
Schokmans,Inv 2468,12/22/17,1/31/18,NBN Co,NBN A401,MW20777 - AYCA-46PUI1 -2HBD-21 - 724 Pittwater Rd Brookvale / Lakeview,NBN New Devs,"$1,612.32",,,,,,,,,,,,,,,,
Schokmans,Inv 2469,12/22/17,1/31/18,NBN Co,NBN A417,MW21505-AYCA-2AS459-2LID-05 -22-26 Ann Street Lidcombe,NBN New Devs,"$3,596.99",,,,,,,,,,,,,,,,
Schokmans,Inv 2470,12/22/17,1/31/18,NBN Co,NBN A417,"MW21540-2LIV-02- AYCA-3DOI9R 166/176-178 Terminus ST ,Liverpool ",NBN New Devs,"$1,325.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2471,12/22/17,1/31/18,NBN Co,NBN A417,MW21384 - 2PEN-65  - AYCA-4LWMQ0 - 271 Dunmore Street - 1- EXTERNAL,NBN New Devs,"$3,121.35",,,,,,,,,,,,,,,,
